scenario,scenario_size,method,mode_profile,social_welfare,completion_rate,drop_rate,p95_latency_ms,externality_mean,externality_p95,externality_max,payment_robot_sum,payment_task_sum,total_decision_overhead_ms
clustered_vs_global,Warehouse-L,ample_amr,default,436.09212385844273,0.7872340425531915,0.2127659574468085,69.99986185384387,3.3606751015680416e-16,3.552713678800501e-15,3.552713678800501e-15,1.2434497875801752e-14,1.2434497875801752e-14,3.374635397146146
clustered_vs_global,Warehouse-L,c_ample_amr,default,428.7285890079009,0.7659574468085106,0.2340425531914893,52.23419460797348,9.005142310848492e-16,4.440892098500626e-15,7.105427357601002e-15,3.241851231905457e-14,3.241851231905457e-14,8.144225886402031
clustered_vs_global,Warehouse-L,fixed_heuristic,default,395.80282231411667,0.8085106382978723,0.1914893617021276,58.802580795261335,0.0,0.0,0.0,0.0,0.0,2.6103403652086854
clustered_vs_global,Warehouse-L,fixed_vcg,default,395.80282231411667,0.8085106382978723,0.1914893617021276,58.802580795261335,1.8698493046318422e-16,5.329070518200701e-16,3.552713678800501e-15,7.105427357601002e-15,7.105427357601002e-15,3.5824269289150834
clustered_vs_global,Warehouse-L,qmix_heuristic,default,436.09212385844273,0.7872340425531915,0.2127659574468085,69.99986185384387,0.0,0.0,0.0,0.0,0.0,2.579041717884442
edge_node_failures,Warehouse-M,ample_amr,default,164.6483599797519,0.6521739130434783,0.3478260869565217,25.481031237249017,9.473903143468002e-16,4.6185277824406474e-15,7.105427357601002e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.6290276845296224
edge_node_failures,Warehouse-M,c_ample_amr,default,164.50300723545328,0.6521739130434783,0.3478260869565217,44.022412638368195,2.3684757858670006e-16,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,1.175989358065029
edge_node_failures,Warehouse-M,fixed_heuristic,default,157.30570739901697,0.6521739130434783,0.3478260869565217,32.780530104286264,0.0,0.0,0.0,0.0,0.0,0.459930549065272
edge_node_failures,Warehouse-M,fixed_vcg,default,157.30570739901697,0.6521739130434783,0.3478260869565217,32.780530104286264,2.3684757858670006e-16,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,0.5249168801431855
edge_node_failures,Warehouse-M,qmix_heuristic,default,164.6483599797519,0.6521739130434783,0.3478260869565217,25.481031237249017,0.0,0.0,0.0,0.0,0.0,0.5185276580353578
heterogeneous_edge_nodes,Warehouse-M+,ample_amr,default,208.2739672297437,0.7391304347826086,0.2608695652173913,122.69410161130588,3.134747363647501e-16,2.1316282072802993e-15,3.552713678800501e-15,5.3290705182007506e-15,5.3290705182007506e-15,1.3025556690990925
heterogeneous_edge_nodes,Warehouse-M+,c_ample_amr,default,170.10164876382925,0.6521739130434783,0.3478260869565217,74.0520214909466,6.513308411134251e-16,2.3092638912203237e-15,3.552713678800501e-15,9.769962616701378e-15,9.769962616701378e-15,2.6220068878804645
heterogeneous_edge_nodes,Warehouse-M+,fixed_heuristic,default,190.18239302927023,0.7391304347826086,0.2608695652173913,143.1431185465235,0.0,0.0,0.0,0.0,0.0,1.1354339464257162
heterogeneous_edge_nodes,Warehouse-M+,fixed_vcg,default,190.18239302927023,0.7391304347826086,0.2608695652173913,143.1431185465235,3.134747363647501e-16,2.1316282072802993e-15,3.552713678800501e-15,5.3290705182007506e-15,5.3290705182007506e-15,1.2641632153342168
heterogeneous_edge_nodes,Warehouse-M+,qmix_heuristic,default,208.2739672297437,0.7391304347826086,0.2608695652173913,122.69410161130588,0.0,0.0,0.0,0.0,0.0,1.2888646839807432
network_degradation,Warehouse-M,ample_amr,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,6.661338147750939e-16,4.440892098500626e-15,7.105427357601002e-15,1.0658141036401504e-14,1.0658141036401504e-14,0.619458306270341
network_degradation,Warehouse-M,c_ample_amr,default,160.42802638244262,0.6086956521739131,0.391304347826087,33.3802482783815,0.0,0.0,0.0,0.0,0.0,1.1297081364318728
network_degradation,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0,0.0,0.5119026949008306
network_degradation,Warehouse-M,fixed_vcg,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,2.960594732333751e-17,1.332267629550183e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.5437708459794521
network_degradation,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,0.0,0.0,0.0,0.0,0.0,0.5662260033811132
peak_warehouse_load,Warehouse-M,ample_amr,default,161.55163563000198,0.7619047619047619,0.238095238095238,20.777514858620066,6.661338147750939e-16,4.440892098500626e-15,7.105427357601002e-15,1.0658141036401504e-14,1.0658141036401504e-14,0.6052605264509717
peak_warehouse_load,Warehouse-M,c_ample_amr,default,160.2986431038641,0.6666666666666666,0.3333333333333333,33.3802482783815,1.2688263138573214e-16,6.21724893790087e-16,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.1411320495729644
peak_warehouse_load,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.7142857142857143,0.2857142857142857,56.660932126921054,0.0,0.0,0.0,0.0,0.0,0.4348543006926775
peak_warehouse_load,Warehouse-M,fixed_vcg,default,154.4637413255238,0.7142857142857143,0.2857142857142857,56.660932126921054,2.960594732333751e-17,1.332267629550183e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.4897187075888117
peak_warehouse_load,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.7619047619047619,0.238095238095238,20.777514858620066,0.0,0.0,0.0,0.0,0.0,0.5630209731558958
scalability_sweep,Warehouse-L,ample_amr,default,355.3053301285987,0.75,0.25,44.28625796429936,2.6645352591003756e-16,4.884981308350665e-16,7.105427357601002e-15,7.993605777301127e-15,7.993605777301127e-15,2.802930772304535
scalability_sweep,Warehouse-L,c_ample_amr,default,361.41183321526984,0.75,0.25,43.23461658030902,7.253457094217689e-16,2.7533531010703828e-15,1.4210854715202004e-14,2.1760371282653068e-14,2.1760371282653068e-14,6.824500121486683
scalability_sweep,Warehouse-L,fixed_heuristic,default,315.30826675706345,0.75,0.25,46.12402684568908,0.0,0.0,0.0,0.0,0.0,2.228093760398527
scalability_sweep,Warehouse-L,fixed_vcg,default,315.30826675706345,0.75,0.25,46.12402684568908,1.983598470663613e-15,1.1013412404281531e-14,1.4210854715202004e-14,5.950795411990839e-14,5.950795411990839e-14,2.637722180224955
scalability_sweep,Warehouse-L,qmix_heuristic,default,355.3053301285987,0.75,0.25,44.28625796429936,0.0,0.0,0.0,0.0,0.0,2.3952221187452474
scalability_sweep,Warehouse-M,ample_amr,default,114.77559330727551,0.6470588235294118,0.3529411764705882,33.60322688956893,0.0,0.0,0.0,0.0,0.0,0.4650831688195467
scalability_sweep,Warehouse-M,c_ample_amr,default,111.44007322214355,0.6470588235294118,0.3529411764705882,34.29651635392898,1.0092936587501425e-17,5.551115123125783e-17,1.1102230246251563e-16,1.1102230246251563e-16,1.1102230246251563e-16,0.7851737318560481
scalability_sweep,Warehouse-M,fixed_heuristic,default,107.10735853108368,0.6470588235294118,0.3529411764705882,63.19259744276445,0.0,0.0,0.0,0.0,0.0,0.3467187052592635
scalability_sweep,Warehouse-M,fixed_vcg,default,107.10735853108368,0.6470588235294118,0.3529411764705882,63.19259744276445,4.03717463500057e-17,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.3691805759444833
scalability_sweep,Warehouse-M,qmix_heuristic,default,114.77559330727551,0.6470588235294118,0.3529411764705882,33.60322688956893,0.0,0.0,0.0,0.0,0.0,0.4148749867454171
scalability_sweep,Warehouse-M+,ample_amr,default,125.78820503979996,0.7647058823529411,0.2352941176470588,130.29887704102362,3.1598655316254457e-16,1.7763568394002505e-15,1.7763568394002505e-15,4.107825191113079e-15,4.107825191113079e-15,0.95352774951607
scalability_sweep,Warehouse-M+,c_ample_amr,default,151.6447175233295,0.7058823529411765,0.2941176470588235,133.59155364519256,1.480297366166875e-16,7.993605777301114e-16,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.584288392526408
scalability_sweep,Warehouse-M+,fixed_heuristic,default,141.3792991087737,0.7647058823529411,0.2352941176470588,152.01535654786088,0.0,0.0,0.0,0.0,0.0,0.7780520245432854
scalability_sweep,Warehouse-M+,fixed_vcg,default,141.3792991087737,0.7647058823529411,0.2352941176470588,152.01535654786088,2.7328566760003855e-16,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,3.552713678800501e-15,0.835229215833048
scalability_sweep,Warehouse-M+,qmix_heuristic,default,125.78820503979996,0.7647058823529411,0.2352941176470588,130.29887704102362,0.0,0.0,0.0,0.0,0.0,0.8181738279139003
scalability_sweep,Warehouse-S,ample_amr,default,124.93159427453,0.9090909090909092,0.0909090909090909,53.20695443849357,0.0,0.0,0.0,0.0,0.0,0.1933786940450469
scalability_sweep,Warehouse-S,c_ample_amr,default,124.923109339937,0.9090909090909092,0.0909090909090909,58.55518479195786,0.0,0.0,0.0,0.0,0.0,0.2777500776574015
scalability_sweep,Warehouse-S,fixed_heuristic,default,118.6134956874006,0.9090909090909092,0.0909090909090909,79.81043165774044,0.0,0.0,0.0,0.0,0.0,0.1145939265067378
scalability_sweep,Warehouse-S,fixed_vcg,default,118.6134956874006,0.9090909090909092,0.0909090909090909,79.81043165774044,3.552713678800501e-16,1.9539925233402717e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,0.1421838533133268
scalability_sweep,Warehouse-S,qmix_heuristic,default,124.93159427453,0.9090909090909092,0.0909090909090909,53.20695443849357,0.0,0.0,0.0,0.0,0.0,0.1758231082931161
scalability_sweep,Warehouse-XL,ample_amr,default,629.1357059553106,0.7530864197530864,0.2469135802469135,62.15593487377066,2.562613145364296e-15,1.4210854715202004e-14,1.4210854715202004e-14,1.5631940186722204e-13,1.5631940186722204e-13,571.3616426025206
scalability_sweep,Warehouse-XL,c_ample_amr,default,618.6906786096756,0.7283950617283951,0.2716049382716049,63.087966055282216,1.3096868222696764e-15,1.4210854715202004e-14,1.4210854715202004e-14,7.727152251391091e-14,7.727152251391091e-14,346.1423539944614
scalability_sweep,Warehouse-XL,fixed_heuristic,default,562.9066871333216,0.7283950617283951,0.2716049382716049,55.11026768328384,0.0,0.0,0.0,0.0,0.0,11.84460062844058
scalability_sweep,Warehouse-XL,fixed_vcg,default,562.9066871333216,0.7283950617283951,0.2716049382716049,55.11026768328384,2.077434269807073e-15,1.4210854715202004e-14,1.4210854715202004e-14,1.2256862191861728e-13,1.2256862191861728e-13,168.6573160889869
scalability_sweep,Warehouse-XL,qmix_heuristic,default,629.1357059553106,0.7530864197530864,0.2469135802469135,62.15593487377066,0.0,0.0,0.0,0.0,0.0,12.85473940273126
sensitivity_operation_modes,Warehouse-M,ample_amr,aggressive_bias,162.2243377714582,0.6956521739130435,0.3043478260869565,19.1266869479021,8.326672684688674e-16,4.440892098500626e-15,7.105427357601002e-15,1.3322676295501878e-14,1.3322676295501878e-14,0.566204854597648
sensitivity_operation_modes,Warehouse-M,ample_amr,conservative,160.58085380911308,0.6956521739130435,0.3043478260869565,22.93591702596156,1.6653345369377348e-16,1.1102230246251563e-15,1.7763568394002505e-15,2.6645352591003757e-15,2.6645352591003757e-15,0.6237255486970147
sensitivity_operation_modes,Warehouse-M,ample_amr,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,6.661338147750939e-16,4.440892098500626e-15,7.105427357601002e-15,1.0658141036401504e-14,1.0658141036401504e-14,0.6106285921608409
sensitivity_operation_modes,Warehouse-M,c_ample_amr,aggressive_bias,160.2692000334805,0.6086956521739131,0.391304347826087,31.623393105835135,0.0,0.0,0.0,0.0,0.0,1.1695940047502518
sensitivity_operation_modes,Warehouse-M,c_ample_amr,conservative,158.7521966639583,0.6086956521739131,0.391304347826087,31.89502957936944,0.0,0.0,0.0,0.0,0.0,1.203736135115226
sensitivity_operation_modes,Warehouse-M,c_ample_amr,default,160.42802638244262,0.6086956521739131,0.391304347826087,33.3802482783815,0.0,0.0,0.0,0.0,0.0,1.1248817900195718
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,aggressive_bias,153.63511561776772,0.6956521739130435,0.3043478260869565,36.75934475556545,0.0,0.0,0.0,0.0,0.0,0.4549061801905433
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,conservative,148.66701702668672,0.6086956521739131,0.391304347826087,35.95282569856879,0.0,0.0,0.0,0.0,0.0,0.438336554604272
sensitivity_operation_modes,Warehouse-M,fixed_heuristic,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,0.0,0.0,0.0,0.0,0.0,0.4577084522073467
sensitivity_operation_modes,Warehouse-M,fixed_vcg,aggressive_bias,153.63511561776772,0.6956521739130435,0.3043478260869565,36.75934475556545,4.0245584642661925e-16,1.7763568394002505e-15,1.7763568394002505e-15,6.439293542825908e-15,6.439293542825908e-15,0.511298809821407
sensitivity_operation_modes,Warehouse-M,fixed_vcg,conservative,148.66701702668672,0.6086956521739131,0.391304347826087,35.95282569856879,1.0150610510858574e-15,3.552713678800501e-15,3.552713678800501e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.4886042637129624
sensitivity_operation_modes,Warehouse-M,fixed_vcg,default,154.4637413255238,0.6521739130434783,0.3478260869565217,56.660932126921054,2.960594732333751e-17,1.332267629550183e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,0.5428507380808393
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,aggressive_bias,162.2243377714582,0.6956521739130435,0.3043478260869565,19.1266869479021,0.0,0.0,0.0,0.0,0.0,0.514562202927967
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,conservative,160.58085380911308,0.6956521739130435,0.3043478260869565,22.93591702596156,0.0,0.0,0.0,0.0,0.0,0.5544095765799284
sensitivity_operation_modes,Warehouse-M,qmix_heuristic,default,161.55163563000198,0.6956521739130435,0.3043478260869565,20.777514858620066,0.0,0.0,0.0,0.0,0.0,0.615680629077057
stable_warehouse_load,Warehouse-M,ample_amr,default,154.3439280004073,0.7391304347826086,0.2608695652173913,27.319665603413856,1.0449157878825005e-15,4.2632564145605986e-15,7.105427357601002e-15,1.7763568394002505e-14,1.7763568394002505e-14,0.5986529868096113
stable_warehouse_load,Warehouse-M,c_ample_amr,default,158.34513662797062,0.6521739130434783,0.3478260869565217,37.17440403045653,8.881784197001252e-16,4.6185277824406474e-15,7.105427357601002e-15,1.3322676295501878e-14,1.3322676295501878e-14,1.2164827591429157
stable_warehouse_load,Warehouse-M,fixed_heuristic,default,147.69259032340054,0.6956521739130435,0.3043478260869565,50.0125415741589,0.0,0.0,0.0,0.0,0.0,0.4438193670163552
stable_warehouse_load,Warehouse-M,fixed_vcg,default,147.69259032340054,0.6956521739130435,0.3043478260869565,50.0125415741589,9.43689570931383e-16,4.440892098500626e-15,7.105427357601002e-15,1.5099033134902132e-14,1.5099033134902132e-14,0.516628303254644
stable_warehouse_load,Warehouse-M,qmix_heuristic,default,154.3439280004073,0.7391304347826086,0.2608695652173913,27.319665603413856,0.0,0.0,0.0,0.0,0.0,1.0419441775108378
